,Название,Год,Топливо,Объем двигателя,Мощность,Коробка передач,Привод,Цвет,Пробег,Руль,Оценка Drom,Цена
209,Kia Optima,2018,бензин,2.0,150.0,АКПП,передний,,116201.0,левый,,1895000
210,Nissan Qashqai,2019,бензин,2.0,144.0,вариатор,передний,,112370.0,левый,8.6,1770000
211,Nissan Qashqai,2019,бензин,2.0,144.0,вариатор,передний,,95959.0,левый,8.6,1770000
212,Hyundai Palisade,2019,дизель,2.2,202.0,АКПП,4WD,белый,90000.0,левый,,4050000
213,Lexus RX350,2023,бензин,2.4,275.0,АКПП,4WD,серебристый,144.0,левый,,9300000
214,BMW X5,2017,дизель,3.0,313.0,АКПП,4WD,черный,108577.0,левый,,4795000
215,Haval F7x,2023,бензин,2.0,190.0,робот,4WD,черный,,левый,,3394980
216,Haval F7,2023,бензин,2.0,190.0,робот,4WD,,,левый,,3229000
217,Haval F7x,2023,бензин,2.0,190.0,робот,4WD,,,левый,,3149000
218,Haval F7x,2023,бензин,2.0,190.0,робот,4WD,,,левый,,3279000
219,Haval F7,2023,бензин,2.0,190.0,робот,4WD,,,левый,,3229000
220,Haval F7,2023,бензин,2.0,190.0,робот,4WD,,,левый,,3229000
221,Haval F7x,2023,бензин,2.0,190.0,робот,4WD,,,левый,,2879000
222,Audi 80,1993,бензин,2.0,115.0,механика,передний,синий,500000.0,левый,7.9,75000
223,УАЗ Буханка,2023,бензин,2.7,112.0,механика,,,,левый,,1333000
224,УАЗ Буханка,2023,бензин,2.7,112.0,механика,,,,левый,,1333000
225,Volkswagen Atlas,2020,бензин,2.0,235.0,автомат,4WD,черный,26470.0,,,4200000
226,Hyundai Elantra,2021,бензин,2.0,150.0,АКПП,передний,серый,19131.0,левый,8.6,2548000
227,Volkswagen Passat,2018,бензин,1.4,150.0,робот,передний,черный,18544.0,левый,8.6,2674000
228,Hyundai Elantra,2021,бензин,2.0,150.0,АКПП,передний,серый,18610.0,левый,8.6,2394000
229,Skoda Rapid,2018,бензин,1.6,110.0,АКПП,передний,синий,82574.0,левый,,1498000
230,Renault Duster,2019,бензин,1.6,114.0,механика,передний,белый,48827.0,левый,8.3,1447000
231,Renault Logan,2018,бензин,1.6,102.0,АКПП,передний,черный,97891.0,левый,8.0,1097000
232,Renault Duster,2020,бензин,1.6,114.0,механика,передний,белый,74184.0,левый,8.3,1497000
233,Volkswagen Jetta,2018,бензин,1.6,110.0,АКПП,передний,белый,68103.0,левый,8.8,1558000
234,Volkswagen Polo,2018,бензин,1.6,110.0,АКПП,передний,белый,53184.0,левый,8.6,1358000
235,Volkswagen Polo,2017,бензин,1.6,110.0,АКПП,передний,белый,105387.0,левый,8.6,1238000
236,Hyundai Solaris,2016,бензин,1.6,123.0,АКПП,передний,бежевый,33502.0,левый,8.8,1267000
237,Land Rover Discovery,2010,дизель,3.0,245.0,АКПП,4WD,черный,173560.0,левый,8.9,1897000
238,УАЗ Патриот,2021,бензин,2.7,150.0,АКПП,4WD,черный,10912.0,левый,8.1,2000000
239,Geely Coolray SX11,2021,бензин,1.5,150.0,робот,передний,серый,19000.0,левый,,2247000
240,Hyundai Santa Fe,2021,дизель,2.2,199.0,робот,4WD,черный,32100.0,левый,8.7,4197000
241,Kia K5,2021,бензин,2.5,194.0,АКПП,передний,черный,58500.0,левый,,2517000
242,Hyundai Creta,2017,бензин,2.0,149.0,АКПП,4WD,черный,112050.0,левый,,1637000
243,Chery Tiggo 7 Pro Max,2023,бензин,1.5,147.0,вариатор,передний,черный,,левый,,2889900
244,Chery Tiggo 7 Pro Max,2023,бензин,1.5,147.0,вариатор,передний,красный,,левый,,2889900
245,Chery Tiggo 7 Pro Max,2023,бензин,1.5,147.0,вариатор,передний,черный,,левый,,2889900
246,Chery Tiggo 7 Pro Max,2023,бензин,1.5,147.0,вариатор,передний,белый,,левый,,3039900
247,Chery Tiggo 7 Pro Max,2023,бензин,1.5,147.0,вариатор,передний,белый,,левый,,3039900
248,Chery Tiggo 7 Pro Max,2023,бензин,1.5,147.0,вариатор,передний,белый,,левый,,3039900
249,Chery Tiggo 7 Pro Max,2023,бензин,1.5,147.0,вариатор,передний,черный,,левый,,2889900
250,Chery Tiggo 7 Pro Max,2023,бензин,1.5,147.0,вариатор,передний,черный,,левый,,2889900
251,Chery Tiggo 7 Pro Max,2023,бензин,1.5,147.0,вариатор,передний,,,левый,,2889900
252,Chery Tiggo 7 Pro Max,2023,бензин,1.5,147.0,вариатор,передний,белый,,левый,,3039900
253,Chery Tiggo 7 Pro Max,2023,бензин,1.5,147.0,вариатор,передний,серый,,левый,,3039900
254,Chery Tiggo 7 Pro Max,2023,бензин,1.5,147.0,вариатор,передний,черный,,левый,,2889900
255,Chery Tiggo 8 Pro Max,2023,бензин,2.0,197.0,робот,4WD,синий,,левый,,3970900
256,Chery Tiggo 7 Pro Max,2023,бензин,1.5,147.0,вариатор,передний,черный,,левый,,2889900
257,Chery Tiggo 4 Pro,2023,бензин,1.5,147.0,вариатор,передний,красный,,левый,,2449900
258,Chery Tiggo 4 Pro,2023,бензин,1.5,147.0,вариатор,передний,серый,,левый,,2389900
259,Kia Carnival,2022,дизель,2.2,199.0,АКПП,передний,,,левый,8.6,7035000
260,Kia Carnival,2022,бензин,3.5,249.0,АКПП,передний,,,левый,8.6,6885000
261,Kia Sportage,2022,бензин,2.0,150.0,АКПП,4WD,,,левый,8.7,4216000
262,Kia Sportage,2022,бензин,2.0,150.0,АКПП,4WD,,,левый,8.7,4030000
263,Kia Sportage,2022,бензин,2.5,190.0,АКПП,4WD,,,левый,8.7,3866000
